sr,country,state,district,tehsil,,,,,,,,,
,India,Haryana,Ambala,Ambala,,,,,,,,,
,India,Haryana,Ambala,Barara,,,,,,,,,
,India,Haryana,Ambala,Naraingarh,,,,,,,,,
,India,Haryana,Ambala,Shahzadpur,,,,,,,,,
,India,Haryana,Bhiwani,Bhiwani,,,,,,,,,
,India,Haryana,Bhiwani,Dadri,,,,,,,,,
,India,Haryana,Bhiwani,Loharu,,,,,,,,,
,India,Haryana,Bhiwani,Tosham,,,,,,,,,
,India,Haryana,Bhiwani,Siwani,,,,,,,,,
,India,Haryana,Charkhi Dadri,Charkhi Dadri,,,,,,,,,
,India,Haryana,Charkhi Dadri,Badhra,,,,,,,,,
,India,Haryana,Faridabad,Faridabad,,,,,,,,,
,India,Haryana,Faridabad,Ballabgarh,,,,,,,,,
,India,Haryana,Faridabad,Palwal,,,,,,,,,
,India,Haryana,Fatehabad,Fatehabad,,,,,,,,,
,India,Haryana,Fatehabad,Ratia,,,,,,,,,
,India,Haryana,Fatehabad,Tohana,,,,,,,,,
,India,Haryana,Gurugram (Gurgaon),Gurugram,,,,,,,,,
,India,Haryana,Gurugram (Gurgaon),Sohna,,,,,,,,,
,India,Haryana,Gurugram (Gurgaon),Pataudi,,,,,,,,,
,India,Haryana,Gurugram (Gurgaon),Farukhnagar,,,,,,,,,
,India,Haryana,Hisar,Hisar,,,,,,,,,
,India,Haryana,Hisar,Adampur,,,,,,,,,
,India,Haryana,Hisar,Hansi,,,,,,,,,
,India,Haryana,Hisar,Narnaund,,,,,,,,,
,India,Haryana,Jhajjar,Jhajjar,,,,,,,,,
,India,Haryana,Jhajjar,Bahadurgarh,,,,,,,,,
,India,Haryana,Jind,Jind,,,,,,,,,
,India,Haryana,Jind,Narwana,,,,,,,,,
,India,Haryana,Jind,Safidon,,,,,,,,,
,India,Haryana,Jind,Uchana,,,,,,,,,
,India,Haryana,Kaithal,Kaithal,,,,,,,,,
,India,Haryana,Kaithal,Guhla,,,,,,,,,
,India,Haryana,Kaithal,Kalayat,,,,,,,,,
,India,Haryana,Kaithal,Pundri,,,,,,,,,
,India,Haryana,Karnal,Karnal,,,,,,,,,
,India,Haryana,Karnal,Indri,,,,,,,,,
,India,Haryana,Karnal,Gharaunda,,,,,,,,,
,India,Haryana,Kurukshetra,Thanesar,,,,,,,,,
,India,Haryana,Kurukshetra,Ladwa,,,,,,,,,
,India,Haryana,Kurukshetra,Shahabad,,,,,,,,,
,India,Haryana,Mahendragarh,Narnaul,,,,,,,,,
,India,Haryana,Mahendragarh,Mahendragarh,,,,,,,,,
,India,Haryana,Mahendragarh,Kanina,,,,,,,,,
,India,Haryana,Mahendragarh,Ateli Mandi,,,,,,,,,
,India,Haryana,Nuh,Nuh,,,,,,,,,
,India,Haryana,Nuh,Ferozepur Jhirka,,,,,,,,,
,India,Haryana,Palwal,Palwal,,,,,,,,,
,India,Haryana,Palwal,Hodal,,,,,,,,,
,India,Haryana,Panchkula,Panchkula,,,,,,,,,
,India,Haryana,Panchkula,Kalka,,,,,,,,,
,India,Haryana,Panchkula,Pinjore,,,,,,,,,
,India,Haryana,Panipat,Panipat,,,,,,,,,
,India,Haryana,Panipat,Samalkha,,,,,,,,,
,India,Haryana,Panipat,Israna,,,,,,,,,
,India,Haryana,Rewari,Rewari,,,,,,,,,
,India,Haryana,Rewari,Bawal,,,,,,,,,
,India,Haryana,Rewari,Kosli,,,,,,,,,
,India,Haryana,Rohtak,Rohtak,,,,,,,,,
,India,Haryana,Rohtak,Meham,,,,,,,,,
,India,Haryana,Rohtak,Kalanaur,,,,,,,,,
,India,Haryana,Sirsa,Sirsa,,,,,,,,,
